[2014-08-20 13:59:35.837] FINE : 1    : *** Created file: /tsim/logs/logpref.txtLATEST_runlog.log  (run log)
[2014-08-20 13:59:35.878] FINE : 1    : *** Created file: /tsim/logs/logpref.txtLATEST_summary.log  (summary log)
[2014-08-20 13:59:35.883] FINE : 1    : *** Created file: /tsim/logs/logpref.txtLATEST_data.log  (request/response data)
[2014-08-20 13:59:35.883] INFO : 1    : Loading configuration file...
[2014-08-20 13:59:35.884] INFO : 1    : Loading REPOSITORY...
[2014-08-20 13:59:35.888] FINE : 1    : *** Loading GLOBAL repository...
[2014-08-20 13:59:35.932] FINE : 1    : *** GLOBAL repository loaded!
[2014-08-20 13:59:35.933] FINE : 1    : *** Loading LOCAL repository...
[2014-08-20 13:59:35.950] FINE : 1    : *** LOCAL repository loaded!
[2014-08-20 13:59:35.950] INFO : 1    : REPOSITORY loaded!
[2014-08-20 13:59:35.950] INFO : 1    : Loading MODELS...
[2014-08-20 13:59:35.967] FINE : 1    : *** Creating MODEL...
[2014-08-20 13:59:35.971] FINEST : 1  : *** Linking Model with local repository...Repository (Local)@d37c3b5
[2014-08-20 13:59:35.980] FINE : 1    : *** Loading file: /var/opt/ffs/usecases/sms/cipip_sms_request_01.xml
[2014-08-20 13:59:36.76]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 28; columnNumber: 45; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.77]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 28; columnNumber: 45; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.78]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 28; columnNumber: 45; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.80]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 31; columnNumber: 47; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.81]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 31; columnNumber: 47; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.85]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 31; columnNumber: 47; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.89]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 31; columnNumber: 47; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.93]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 33; columnNumber: 51; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.94]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 33; columnNumber: 51; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.95]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 33; columnNumber: 51; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.96]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 33; columnNumber: 51; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.98]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 37; columnNumber: 41; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.98]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 37; columnNumber: 41; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.99]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 37; columnNumber: 41; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.100] WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 37; columnNumber: 41; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.102] WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 39; columnNumber: 62; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.102] WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 39; columnNumber: 62; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.104] WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 39; columnNumber: 62; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.105] WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 39; columnNumber: 62; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.111] WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 41; columnNumber: 45; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.112] WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 41; columnNumber: 45; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.113] WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 41; columnNumber: 45; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.117] WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 41; columnNumber: 45; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.119] WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 44; columnNumber: 66; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.119] WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 44; columnNumber: 66; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.124] WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 44; columnNumber: 66; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.125] WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 44; columnNumber: 66; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.129] WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 47; columnNumber: 44; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.130] WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 47; columnNumber: 44; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.131] WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 47; columnNumber: 44; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
